Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.3716,-3.206,-6.887,-0.0,-9.259,29.156,24.018,13.483,30.0,11.006,12.917,-3.44,-17.633,9.621,4.292,15.0,-5.979,2.143,17.592,-99.328,79.021,-67.484,43.593,-0.196,0.0,5.111,-46.251,-76.792,-24.118,39.181,0.0,-53.342,0.0
1,0.2869,0.3647,77.2904,-3.442,-6.616,0.166,-9.488,29.66,25.815,14.205,19.801,11.336,12.916,-3.571,-17.89,9.74,-1.326,15.0,-5.634,1.61,17.541,-106.508,75.727,-44.406,52.032,0.18,0.0,5.498,-45.267,-80.261,-27.478,37.462,0.0,-54.336,0.0
2,0.5864,0.7517,77.2042,-3.681,-6.31,0.325,-9.847,30.237,27.523,14.974,1.645,11.623,12.9,-3.696,-18.139,9.834,-5.899,15.0,-5.4,1.023,17.512,-113.018,72.835,-20.925,60.585,0.293,0.0,5.904,-44.556,-83.315,-30.362,35.791,0.0,-55.263,0.0
3,0.8996,1.1607,77.1113,-3.933,-5.967,0.483,-10.337,30.89,29.14,15.791,-11.248,11.868,12.867,-3.815,-18.379,9.903,-9.427,15.0,-5.277,0.382,17.506,-118.86,70.346,2.957,69.252,0.142,0.0,6.331,-44.116,-85.954,-32.771,34.168,0.0,-56.122,0.0
4,1.226,1.5902,77.0119,-4.214,-5.591,0.635,-10.956,31.616,30.668,16.654,-18.878,12.071,12.817,-3.926,-18.61,9.945,-11.909,15.0,-5.265,-0.313,17.521,-124.032,68.26,27.241,78.035,-0.273,0.0,6.778,-43.949,-88.179,-34.705,32.592,0.0,-56.913,0.0
5,1.5618,2.0396,76.9065,-4.506,-5.205,0.782,-11.661,32.477,32.338,17.586,-21.907,12.411,12.752,-4.044,-18.872,9.987,-14.085,15.0,-5.345,-1.114,17.572,-129.371,65.814,64.743,92.54,-1.202,0.0,7.242,-43.583,-89.988,-36.425,31.146,0.0,-57.751,0.0
6,1.9057,2.513,76.7916,-4.826,-4.808,0.933,-12.547,33.367,33.693,18.697,-23.867,12.571,12.675,-4.147,-19.113,10.018,-15.746,15.0,-5.496,-1.958,17.633,-133.685,63.289,109.193,106.281,-2.211,0.0,7.726,-43.05,-91.386,-38.241,29.608,0.0,-58.415,0.0
7,2.2582,3.0135,76.6652,-5.174,-4.384,1.086,-13.601,34.259,34.742,19.585,-11.585,12.464,12.571,-4.264,-19.386,9.919,-12.328,15.0,-5.736,-2.713,17.71,-135.181,63.867,99.751,103.439,-3.037,0.0,8.234,-43.744,-92.563,-38.974,27.993,0.0,-58.911,0.0
8,2.621,3.5479,76.5267,-5.553,-3.926,1.244,-14.788,35.189,35.672,20.767,-4.619,12.043,12.413,-4.286,-19.311,9.604,-1.369,15.0,-6.266,-3.51,17.76,-136.499,65.401,91.858,101.89,-3.453,0.0,8.771,-47.016,-93.084,-36.906,26.714,0.0,-59.299,0.0
9,2.9937,4.1221,76.3767,-5.944,-3.429,1.41,-16.114,36.184,36.56,22.261,-2.629,11.296,12.258,-4.349,-19.384,9.653,-4.028,15.0,-6.833,-4.287,17.731,-135.771,67.687,84.101,92.045,-3.265,0.0,9.342,-51.957,-93.192,-32.755,25.432,0.0,-59.61,0.0
