Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.0,0.0,77.9383,-3.613,-6.417,-0.0,14.236,20.759,33.738,7.477,-8.76,-5.67,8.968,-1.288,-8.31,6.754,9.707,15.0,-3.884,6.481,14.759,-12.272,19.454,-54.671,47.934,-12.942,0.0,3.739,-10.386,-18.944,35.498,71.455,0.0,-51.759,0.0
1,-0.029,-0.0012,77.938,-3.66,-6.436,-0.284,14.32,20.87,34.072,7.535,-8.489,-5.703,8.85,-1.188,-8.071,6.934,5.361,15.0,-3.568,6.541,14.635,-14.195,17.637,24.407,66.731,-12.962,0.0,3.697,-10.148,-18.999,35.093,71.335,0.0,-52.03,0.0
2,-0.0812,0.0024,77.938,-3.692,-6.457,-0.526,14.386,20.947,34.354,7.581,-8.182,-5.73,8.742,-1.118,-7.864,7.081,1.973,15.0,-3.333,6.585,14.558,-15.616,16.292,96.3,80.669,-12.966,0.0,3.667,-9.983,-19.057,34.797,71.204,0.0,-52.245,0.0
3,-0.1376,0.016,77.939,-3.708,-6.481,-0.72,14.435,20.992,34.585,7.613,-7.838,-5.75,8.643,-1.078,-7.689,7.195,-0.455,15.0,-3.179,6.612,14.529,-16.533,15.419,150.0,89.747,-12.957,0.0,3.651,-9.892,-19.118,34.609,71.061,0.0,-52.402,0.0
4,-0.1981,0.0384,77.9411,-3.71,-6.508,-0.872,14.468,21.004,34.764,7.632,-7.458,-5.764,8.554,-1.067,-7.547,7.276,-1.923,15.0,-3.106,6.623,14.546,-16.948,15.018,64.057,93.965,-12.932,0.0,3.647,-9.875,-19.182,34.529,70.906,0.0,-52.504,0.0
5,-0.262,0.0681,77.9443,-3.698,-6.531,-0.991,14.49,20.983,34.93,7.595,-6.093,-5.77,8.469,-1.091,-7.442,7.446,-6.283,15.0,-3.098,6.616,14.601,-16.954,15.041,-21.887,93.499,-12.888,0.0,3.658,-9.918,-19.251,34.528,70.737,0.0,-52.546,0.0
6,-0.3288,0.1059,77.9489,-3.671,-6.551,-1.073,14.491,20.939,35.054,7.617,-6.412,-5.77,8.398,-1.109,-7.25,7.379,-3.063,15.0,-3.373,6.58,14.801,-15.197,16.651,-75.784,77.935,-12.832,0.0,3.681,-10.229,-19.287,34.795,70.607,0.0,-52.533,0.0
7,-0.3979,0.1525,77.9546,-3.632,-6.572,-1.108,14.442,20.815,34.886,7.517,-2.439,-5.765,8.356,-1.239,-7.403,7.198,3.514,15.0,-3.406,6.548,14.892,-15.209,16.65,-44.188,77.466,-12.765,0.0,3.716,-10.299,-19.399,35.027,70.357,0.0,-52.462,0.0
8,-0.4691,0.2069,77.9612,-3.585,-6.6,-1.107,14.403,20.694,34.793,7.662,-8.295,-5.756,8.323,-1.396,-7.59,7.37,-2.408,15.0,-3.484,6.518,15.018,-14.495,17.241,25.238,71.186,-12.69,0.0,3.762,-10.407,-19.5,35.349,70.335,0.0,-52.329,0.0
9,-0.5419,0.2672,77.9684,-3.532,-6.634,-1.079,14.361,20.576,34.734,7.794,-13.014,-5.744,8.261,-1.492,-7.501,7.465,-3.24,15.0,-3.208,6.51,15.007,-15.906,15.856,79.356,82.065,-12.607,0.0,3.818,-10.085,-19.663,35.056,69.634,0.0,-52.147,0.0
10,-0.6154,0.3327,77.976,-3.471,-6.668,-1.027,14.356,20.473,34.839,7.822,-15.747,-5.733,8.212,-1.692,-7.742,8.029,-19.755,15.0,-2.946,6.502,14.987,-17.385,14.96,73.665,91.854,-12.517,0.0,3.882,-9.854,-19.714,34.604,70.188,0.0,-51.922,0.0
11,-0.6889,0.4022,77.9838,-3.406,-6.702,-0.953,14.249,20.292,34.503,7.918,-17.203,-5.721,8.139,-1.702,-7.276,8.178,-22.023,15.0,-3.047,6.414,15.195,-16.58,14.861,63.169,86.877,-12.422,0.0,3.951,-9.809,-19.87,34.918,68.136,0.0,-51.663,0.0
12,-0.7622,0.4736,77.9917,-3.338,-6.736,-0.865,14.152,20.115,34.236,7.938,-16.553,-5.709,8.071,-1.765,-6.981,8.323,-24.082,15.0,-3.098,6.323,15.36,-16.14,14.804,55.609,83.12,-12.32,0.0,4.024,-9.814,-20.008,35.713,66.791,0.0,-51.388,0.0
13,-0.8355,0.5457,77.9995,-3.268,-6.767,-0.766,14.072,19.95,34.067,7.881,-13.951,-5.698,8.051,-1.857,-6.791,8.123,-17.158,15.0,-3.125,6.239,15.522,-15.857,14.835,50.924,81.799,-12.215,0.0,4.1,-9.779,-19.951,35.09,66.052,0.0,-51.113,0.0
14,-0.9088,0.6187,78.0071,-3.197,-6.795,-0.659,14.007,19.799,33.998,7.748,-9.308,-5.688,8.047,-1.975,-6.697,7.859,-9.041,15.0,-3.35,6.133,15.761,-14.471,16.15,15.293,70.341,-12.107,0.0,4.177,-10.03,-19.796,34.756,66.107,0.0,-50.85,0.0
15,-0.9819,0.6919,78.0146,-3.123,-6.819,-0.549,13.908,19.601,33.73,7.549,-2.629,-5.678,8.064,-2.221,-7.059,7.6,-1.612,15.0,-3.46,6.034,15.926,-13.929,16.93,-0.362,64.452,-11.999,0.0,4.254,-10.261,-19.629,34.623,66.82,0.0,-50.613,0.0
16,-1.0541,0.7634,78.0218,-3.049,-6.837,-0.434,13.849,19.449,33.697,7.574,-5.554,-5.67,8.08,-2.478,-7.461,7.375,4.576,15.0,-3.451,5.953,16.029,-13.789,17.436,-11.292,62.24,-11.889,0.0,4.33,-10.44,-19.441,34.455,68.156,0.0,-50.415,0.0
17,-1.1249,0.8328,78.0286,-2.975,-6.852,-0.315,13.799,19.329,33.785,7.531,-5.27,-5.661,8.031,-2.703,-7.724,7.56,0.821,15.0,-3.244,5.896,16.046,-14.687,17.405,-3.718,65.192,-11.781,0.0,4.405,-10.412,-19.271,33.942,69.373,0.0,-50.267,0.0
18,-1.1938,0.9009,78.0349,-2.901,-6.866,-0.196,13.768,19.224,33.957,7.495,-5.811,-5.654,8.011,-3.006,-8.278,7.852,-7.978,15.0,-3.25,5.808,16.133,-14.508,18.226,-18.966,60.643,-11.674,0.0,4.479,-10.691,-19.057,34.113,71.398,0.0,-50.159,0.0
